time	slice	decision	reason	evidence	result
11:47	REVIEW	Attestation provenance is the top gap	bindings close TOCTOU only if attestations come from an authenticated independent validator; routes are unauthenticated so one can be fabricated	sol final review	documented, hardening dispatched
11:47	REVIEW	Gate and live execution must share one executor	otherwise compatibility validation tests a surrogate forever	sol final review	constraint on the next slice
12:07	S12	Canaries pinned in supervisor-owned state, outside the corpus	canary identity previously came from the mutable corpus, so a candidate could decide which cases were mandatory	test: candidate removing the canary catching its own regression cannot promote	fixed, merged
12:15	S13	Gate and live execution share one AgentExecutor behind two response sources	otherwise compatibility validation tests a surrogate forever	test: same executor and effects under recorded and live sources; integration now uses the real executor	merged
12:15	S13	Manifest convention: prompt.md and policy.md required, skills/*.md	missing required module must fail loudly, not run with a silently empty prompt	AgentMaterializationError with the missing module named	merged
12:48	S14	Test credential moved from .dev.vars into vitest.workers.config miniflare bindings	.dev.vars is gitignored, so 11 workers tests passed in the agent worktree and failed on main	401 unauthorized on merge; fixed and reproducible from a clean clone	fixed
18:04	D1-FIX	Retract the stated reason for hand-writing the git codec	isomorphic-git publicly exports writeTree/writeCommit and works on memfs; the real constraint was only @cloudflare/computer wrapper, and separately the 4-function store vs FsClient	verified against isomorphic-git 1.41.9 index.d.ts lines 3758/3937	D1 rewritten, decision stands on different grounds
18:45	WORKERD	isomorphic-git replaces the git binary as codec oracle	git binary needs a subprocess, which pins those tests to Node; isogit is pure JS and runs in workerd	probe: isogit in workerd produced ce013625... for "hello\n", matching real git	seam committed
18:45	WORKERD	Prototype finding corrected: FsClient needs all 10 methods provided	isomorphic-git binds every method at construction; counting CALLS (4) was misleading	4-method shim failed with "reading bind" before any call	memory-fs provides all 10
19:04	WORKERD	Single runtime: all 165 tests run in workerd	Node-side split existed only for the git-binary oracle and node:fs fixtures, both now removed	one vitest config, one tsconfig, @types/node dropped, cold clone green	done
19:04	WORKERD	Three latent typing bugs surfaced by collapsing to workers-types	globalThis.crypto and two TextDecoder({fatal}) calls only typechecked under Node lib globals	tsc against workers-types only	fixed
21:10	ANTISLOP	Vendor dmmulroy/anti-slop, adopt via ratchet	136 violations on adoption; gate must never go red and nothing silently tolerated	6 rules clean immediately, 8 set off with recorded counts	adopted
21:10	ANTISLOP	No schema library; narrow once at the boundary instead	rewriting stable tested parsers late adds more risk than it removes; a schema lib hides rather than removes the unknown boundary	sol review; expect 75-85% of 98 to vanish via restructuring	option B chosen
21:10	ANTISLOP	Typed FsClient removed both weak dictionary typing and the oracle casts	the "as never" casts existed only to paper over Record<string,unknown>	13/15 anti-slop rules now at error	merged
21:32	ANTISLOP	All 15 anti-slop rules enforced	93 of 98 parser violations removed by restructuring, not suppression	4 narrow justified exceptions: 3 named boundary parsers + 1 isomorphic-git FsClient overload	done
21:32	DEBT	supervisor.ts is 1755 lines and disables its own max-lines rules file-wide	added during S10; not an anti-slop rule but a real smell the linter was telling us about	src/supervisor/supervisor.ts:2	open, not addressed tonight
22:15	GENMODEL	Generation = attempted facet materialization, not a commit	lineage depth is not an identity (proved: rollback+branch gives two number-1 generations); and every-commit-is-a-generation leaves the agent nowhere to work	test showed g1 and g1prime both number 1	remodel started
22:15	GENMODEL	Materialization is immutable; activation is an append-only ledger	a validated generation can be promoted, superseded, rolled back to and promoted again; one mutable status cannot hold that	sol review	adopted
22:15	GENMODEL	Called a registry, not tags	git tags are refs, refs are mutable named pointers, we have no ref store and refs are not content-addressed	sol review	naming corrected
23:14	GENMODEL	Remodel complete: registry + ledger in DO SQLite, not KV	KV is eventually consistent and outside the DO transaction domain; promotion touches pointer+generation+ledger+validation together	198 tests green, one transactionSync covers all four writes	done
23:14	GENMODEL	Attestation binds artifact digest as well as generation number	the number distinguishes attempts but does not prove which bytes ran	sol review; implemented in supervisor promote path	done
23:17	PRIORART	js-git already implements our exact invariant (sha1 of framed uncompressed bytes, duck-typed storage)	dead since 2017, so prior art not dependency; every mature impl separates format from storage as we do	source read of js-git, go-git, gix, dulwich, Irmin	D1 finally has a solid justification
23:17	SECURITY	Never hand the facet a computer Workspace; expose four proxied methods	workspace grants fs root, host-forwarded git, Assets, Artifacts; git network runs host-side and bypasses globalOutbound null	@cloudflare/computer 0.2.1 source	adopted as D2a-bis
23:17	PRIORART	Nix diverges 3 ways; our allocate-before-load matches its failed-activation case	Nix skips unchanged outputs and reuses pruned numbers; we always allocate and never reuse	Nix source	documented as deliberate
